"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
227,"SerA","11/5/1989","Milan - Juventus","3 - 2","Tacconi","Van Basten pen.","52","1 - 0"
228,"SerA","11/5/1989","Milan - Juventus","3 - 2","Tacconi","Donadoni","78","2 - 2"
229,"SerA","11/5/1989","Milan - Juventus","3 - 2","Tacconi","Van Basten","85","3 - 2"
230,"SerA","12/30/1990","Milan - Juventus","2 - 0","Tacconi","Ancelotti","46","1 - 0"
231,"SerA","12/30/1990","Milan - Juventus","2 - 0","Tacconi","Gullit","55","2 - 0"
232,"SerA","5/5/1991","Juventus - Milan","0 - 3","Tacconi","Simone",3,"0 - 1"
233,"SerA","5/5/1991","Juventus - Milan","0 - 3","Tacconi","Maldini",13,"0 - 2"
234,"SerA","5/5/1991","Juventus - Milan","0 - 3","Tacconi","Evani","78","0 - 3"
235,"SerA","9/15/1991","Juventus - Milan","1 - 1","Tacconi","Carrera M. og.","92","1 - 1"
236,"SerA","2/9/1992","Milan - Juventus","1 - 1","Tacconi","Van Basten",4,"1 - 0"
237,"SerA","11/29/1992","Juventus - Milan","0 - 1","Peruzzi","Simone","68","0 - 1"
238,"SerA","4/17/1993","Milan - Juventus","1 - 3","Rampulla","Simone",6,"1 - 0"
239,"SerA","10/24/1993","Milan - Juventus","1 - 1","Peruzzi","Albertini","75","1 - 1"
240,"SerA","3/6/1994","Juventus - Milan","0 - 1","Peruzzi","Eranio","60","0 - 1"
241,"SerA","10/15/1995","Milan - Juventus","2 - 1","Peruzzi","Simone",7,"1 - 0"
242,"SerA","10/15/1995","Milan - Juventus","2 - 1","Peruzzi","Weah",14,"2 - 0"
243,"SerA","2/25/1996","Juventus - Milan","1 - 1","Peruzzi","Weah",30,"1 - 1"
244,"SerA","4/6/1997","Milan - Juventus","1 - 6","Peruzzi","Simone","76","1 - 5"
245,"SerA","11/30/1997","Milan - Juventus","1 - 1","Peruzzi","Ferrara C. og.",27,"1 - 0"
246,"SerA","3/28/1998","Juventus - Milan","4 - 1","Peruzzi","Boban pen.",33,"1 - 1"
247,"SerA","1/6/1999","Milan - Juventus","1 - 1","Peruzzi","Albertini pen.",27,"1 - 0"
248,"SerA","5/9/1999","Juventus - Milan","0 - 2","Peruzzi","Weah","46","0 - 1"
249,"SerA","5/9/1999","Juventus - Milan","0 - 2","Peruzzi","Weah","64","0 - 2"
250,"SerA","11/21/1999","Juventus - Milan","3 - 1","Van der Sar","Zidane og.",21,"0 - 1"
251,"SerA","3/24/2000","Milan - Juventus","2 - 0","Van der Sar","Shevchenko",45,"1 - 0"
