"Pos","Comp","Date","Match","Score","Goalscorer","Goalkeeper","Min","Part"
227,"SerA","2/17/1985","Milan - Juventus","3 - 2","Rossi P.","Terraneo",30,"1 - 2"
228,"SerA","4/20/1986","Juventus - Milan","1 - 0","Laudrup","Terraneo","62","1 - 0"
229,"SerA","2/22/1987","Milan - Juventus","1 - 1","Serena A.","Galli G.","55","0 - 1"
230,"SerA","11/5/1989","Milan - Juventus","3 - 2","De Agostini pen.","Pazzagli","62","1 - 1"
231,"SerA","11/5/1989","Milan - Juventus","3 - 2","Schillaci","Pazzagli","65","1 - 2"
232,"SerA","3/11/1990","Juventus - Milan","3 - 0","Schillaci","Galli G.",7,"1 - 0"
233,"SerA","3/11/1990","Juventus - Milan","3 - 0","Rui Barros","Galli G.",18,"2 - 0"
234,"SerA","3/11/1990","Juventus - Milan","3 - 0","Rui Barros","Galli G.","58","3 - 0"
235,"CI","4/25/1990","Milan - Juventus","0 - 1","Galìa","Galli G.",17,"0 - 1"
236,"SerA","9/15/1991","Juventus - Milan","1 - 1","Casiraghi","Rossi S.",13,"1 - 0"
